,x_pix,y_pix,ux,uy,Exx,Eyy,Exy,R,Reig,lambda1,width_mm,area_mm2,stress_mpa,frame
2930575,319.0,850.0,14.97816639493516,-0.025925819437804698,3.7052801632721533,-0.3001519522758081,-0.13717329798649894,0.0,1.9591381751719337,8.41994483034336,3.0634,4.901440000000001,0.27809881871450015,36.0
2906049,273.0,860.0,8.504165157616258,0.004703561449834748,2.607129818476238,-0.2943548372263648,0.07663850100035058,2.653086949556464,1.5119793093846188,6.21830540556485,3.0422,4.86752,0.19157623122247058,22.0
2898754,322.0,863.0,17.746391338400365,-0.11668908549923396,3.969925257369841,-0.3213835140743617,-0.169001791222577,0.917725291335391,2.251793068894417,8.953141305812265,3.0634,4.901440000000001,0.3142334048769341,42.0
2898758,326.0,863.0,16.448470730979736,-0.10041359008863937,3.7648866613779273,-0.3167354087663391,-0.15262645409539616,0.6192555792438201,2.1385131554148287,8.541171905069588,3.074,4.9184,0.29718938414931684,39.0
2918289,273.0,855.0,0.6407407997861193,-0.07960560936118494,0.10382769805799541,-0.04381889579612874,0.0003189203822176256,0.8449200367561331,0.12375956500111758,1.2076567738617685,3.0422,4.86752,0.09309657443626324,2.0
2886512,320.0,868.0,16.775268148422818,-0.12396714507722395,3.8778706941442636,-0.2955658472936108,-0.15411739672606892,0.7354423719666239,2.1119940263559775,8.767108456735281,3.0634,4.901440000000001,0.3013949557681007,40.0
2908543,319.0,859.0,0.2752334563107638,-0.0445031814092304,0.04391597515027623,-0.019528612294783976,-0.003834363506639926,0.20173188473096515,3.4460340164920953,1.0882937400809156,3.0634,4.901440000000001,0.052458846379839386,1.0
2910943,271.0,858.0,4.656295436552563,-0.024798086532933805,1.3792769018566742,-0.23192998629500494,0.056428810581354336,2.837842286598928,2.003380565113342,3.762501545645713,3.0422,4.86752,0.15261136266517653,12.0
2923181,269.0,853.0,5.020844986064742,-0.0003392939729534028,1.5218675197134437,-0.23799950894845473,0.025123472506757085,2.067559994806576,0.8177197262788455,4.044452207574233,3.0422,4.86752,0.15264768239267637,13.0
2910946,274.0,858.0,3.8919995260172313,-0.047843750525284445,1.0809878052822133,-0.20591991530132792,0.04294081450606107,2.8209493291365937,1.9089828566655678,3.1648380770682207,3.0422,4.86752,0.1523707898478075,10.0
2915841,273.0,856.0,3.8822450948300165,-0.04226162671012812,1.0809878052822133,-0.20502231139349342,0.03356310818346477,2.5828410073235686,1.4939857850948102,3.1637263214945315,3.0422,4.86752,0.1523707898478075,10.0
2893858,322.0,865.0,3.818039544127827,-0.07660936128902707,0.9242862705448032,-0.17963328977562149,-0.012124935411311356,0.20326916286497954,0.6292088111232648,2.8488388581888096,3.0634,4.901440000000001,0.15023489933570539,9.0
2915838,270.0,856.0,18.140522142227187,-0.08524243966604139,3.924904923830187,-0.3398667739063964,0.040685828181362946,1.7828536816768659,0.5465341616593348,8.85058606083444,3.0422,4.86752,0.3346686088603642,45.0
